shape,weight,area,d,bf,tw,tf,k,k1,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD,T,WGi
HP18X204,204,60.2,18.3,18.1,1.13,1.13,2.31,1.75,3480,433.0,380.0,7.6,1120.0,191.0,124.0,4.31,29.5,82500,77.7,397.0,82.3,212.0,5.03,17.2,86.6,105.0,54.7,72.8,13.5,7.5
HP18X181,181,53.2,18.0,18.0,1.0,1.0,2.18,1.6875,3020,379.0,336.0,7.53,974.0,167.0,108.0,4.28,20.7,70400,76.5,344.0,72.3,185.0,4.96,17.0,86.0,104.0,54.0,72.0,13.5,7.5
HP18X157,157,46.2,17.7,17.9,0.87,0.87,2.05,1.625,2570,327.0,290.0,7.46,833.0,143.0,93.1,4.25,13.9,59000,75.3,293.0,62.3,159.0,4.92,16.8,85.3,103.0,53.3,71.2,13.5,7.5
HP18X135,135,39.9,17.5,17.8,0.75,0.75,1.93,1.5625,2200,281.0,251.0,7.43,706.0,122.0,79.3,4.21,9.12,49500,74.5,249.0,53.5,136.0,4.85,16.8,84.9,103.0,52.8,70.6,13.5,7.5
HP16X183,183,54.1,16.5,16.3,1.13,1.13,2.31,1.75,2510,349.0,304.0,6.81,818.0,156.0,100.0,3.89,26.9,48300,62.2,285.0,65.4,169.0,4.55,15.4,77.6,93.9,49.3,65.6,11.75,5.5
HP16X162,162,47.7,16.3,16.1,1.0,1.0,2.18,1.6875,2190,306.0,269.0,6.78,697.0,134.0,86.6,3.82,18.8,40800,61.6,248.0,57.8,149.0,4.45,15.3,76.9,93.0,48.7,64.8,11.75,5.5
HP16X141,141,41.7,16.0,16.0,0.875,0.875,2.06,1.625,1870,264.0,234.0,6.7,599.0,116.0,74.9,3.79,12.9,34300,60.5,212.0,50.0,128.0,4.4,15.1,76.2,92.2,48.0,64.0,11.75,5.5
HP16X121,121,35.8,15.8,15.9,0.75,0.75,1.93,1.5625,1590,226.0,201.0,6.66,504.0,97.6,63.4,3.75,8.35,28500,59.8,178.0,42.8,109.0,4.34,15.1,75.8,91.7,47.5,63.4,11.75,5.5
HP16X101,101,29.9,15.5,15.8,0.625,0.625,1.81,1.5,1300,187.0,168.0,6.59,412.0,80.1,52.2,3.71,5.07,22800,58.8,145.0,35.3,89.3,4.27,14.9,75.1,90.9,46.8,62.6,11.75,5.5
HP16X88,88,25.8,15.3,15.7,0.54,0.54,1.72,1.4375,1110,161.0,145.0,6.56,349.0,68.2,44.5,3.68,3.45,19000,57.9,123.0,30.2,76.2,4.21,14.8,74.6,90.3,46.3,62.0,11.75,5.5
HP14X117,117,34.4,14.2,14.9,0.805,0.805,1.5,1.625,1220,194.0,172.0,5.96,443.0,91.4,59.5,3.59,8.02,19900,49.9,149.0,38.0,96.3,4.15,13.4,4.15,85.4,43.3,58.2,11.25,5.5
HP14X102,102,30.1,14.0,14.8,0.705,0.705,1.38,1.5625,1050,169.0,150.0,5.92,380.0,78.8,51.4,3.56,5.39,16800,49.2,128.0,33.0,83.3,4.1,13.3,4.1,84.8,42.8,57.6,11.25,5.5
HP14X89,89,26.1,13.8,14.7,0.615,0.615,1.31,1.5,904,146.0,131.0,5.88,326.0,67.7,44.3,3.53,3.59,14200,48.5,110.0,28.6,71.9,4.05,13.2,4.05,84.1,42.3,57.0,11.25,5.5
HP14X73,73,21.4,13.6,14.6,0.505,0.505,1.19,1.4375,729,118.0,107.0,5.84,261.0,54.6,35.8,3.49,2.01,11200,47.8,88.0,23.3,58.3,4.0,13.1,4.0,83.6,41.8,56.4,11.25,5.5
HP12X89,89,25.9,12.4,12.3,0.72,0.72,1.32,1.1875,693,127.0,112.0,5.17,224.0,56.0,36.4,2.94,4.92,7640,35.9,79.5,24.3,62.5,3.42,11.7,59.2,71.5,37.1,49.4,9.5,5.5
HP12X84,84,24.6,12.3,12.3,0.685,0.685,1.38,1.1875,650,120.0,106.0,5.14,213.0,53.2,34.6,2.94,4.24,7140,35.6,75.0,23.1,59.0,3.41,11.6,3.41,71.4,36.9,49.2,9.5,5.5
HP12X74,74,21.8,12.1,12.2,0.605,0.61,1.31,1.125,569,105.0,93.8,5.11,186.0,46.6,30.4,2.92,2.98,6160,35.2,65.5,20.4,51.9,3.38,11.5,3.38,70.8,36.4,48.6,9.5,5.5
HP12X63,63,18.4,11.9,12.1,0.515,0.515,1.25,1.0625,472,88.3,79.1,5.06,153.0,38.7,25.3,2.88,1.83,5000,34.6,54.1,17.1,43.3,3.33,11.4,3.33,70.1,35.9,48.0,9.5,5.5
HP12X53,53,15.5,11.8,12.0,0.435,0.435,1.13,1.0625,393,74.0,66.7,5.03,127.0,32.2,21.1,2.86,1.12,4080,34.2,44.7,14.3,36.2,3.29,11.4,3.29,69.7,35.6,47.6,9.5,5.5
HP10X57,57,16.7,9.99,10.2,0.565,0.565,1.25,0.9375,294,66.5,58.8,4.18,101.0,30.3,19.7,2.45,1.97,2240,24.1,34.8,12.9,32.8,2.84,9.43,48.6,58.8,30.2,40.4,7.5,5.5
HP10X42,42,12.4,9.7,10.1,0.415,0.42,1.13,0.8125,210,48.3,43.4,4.13,71.7,21.8,14.2,2.41,0.813,1540,23.4,24.7,9.41,23.7,2.77,9.28,48.0,58.1,29.5,39.6,7.5,5.5
HP8X36,36,10.6,8.02,8.16,0.445,0.445,1.13,0.875,119,33.6,29.8,3.36,40.3,15.2,9.88,1.95,0.77,578,15.4,14.0,6.5,16.6,2.26,7.58,38.9,47.1,24.2,32.4,5.75,5.5
