shape,weight,area,OD,tnom,tdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
HSS28_000X1_000,288.63,79.1,28.0,1.0,0.93,7250.0,682.0,518.0,9.58,7250.0,682.0,518.0,9.58,14500.0,1030.0
HSS28_000X0_875,253.72,69.5,28.0,0.875,0.814,6430.0,602.0,459.0,9.62,6430.0,602.0,459.0,9.62,12900.0,917.0
HSS28_000X0_750,218.48,59.8,28.0,0.75,0.698,5580.0,520.0,398.0,9.66,5580.0,520.0,398.0,9.66,11200.0,796.0
HSS28_000X0_625,182.9,50.1,28.0,0.625,0.581,4710.0,437.0,336.0,9.7,4710.0,437.0,336.0,9.7,9410.0,672.0
HSS28_000X0_500,146.99,40.2,28.0,0.5,0.465,3810.0,353.0,272.0,9.74,3810.0,353.0,272.0,9.74,7630.0,544.0
HSS28_000X0_375,110.74,30.3,28.0,0.375,0.349,2900.0,267.0,207.0,9.78,2900.0,267.0,207.0,9.78,5790.0,414.0
HSS26_000X0_750,202.44,55.4,26.0,0.75,0.698,4440.0,447.0,342.0,8.95,4440.0,447.0,342.0,8.95,8880.0,682.0
HSS26_000X0_625,169.54,46.4,26.0,0.625,0.581,3750.0,376.0,289.0,8.99,3750.0,376.0,289.0,8.99,7500.0,577.0
HSS26_000X0_500,136.3,37.3,26.0,0.5,0.465,3040.0,303.0,234.0,9.03,3040.0,303.0,234.0,9.03,6080.0,468.0
HSS26_000X0_375,102.73,28.1,26.0,0.375,0.349,2310.0,229.0,178.0,9.07,2310.0,229.0,178.0,9.07,4620.0,356.0
HSS26_000X0_313,85.81,23.5,26.0,0.313,0.291,1940.0,192.0,149.0,9.09,1940.0,192.0,149.0,9.09,3880.0,298.0
HSS24_000X1_000,245.87,67.4,24.0,1.0,0.93,4490.0,495.0,374.0,8.16,4490.0,495.0,374.0,8.16,8980.0,746.0
HSS24_000X0_875,216.31,59.3,24.0,0.875,0.814,3990.0,438.0,332.0,8.2,3990.0,438.0,332.0,8.2,7980.0,663.0
HSS24_000X0_750,186.41,51.1,24.0,0.75,0.698,3470.0,379.0,289.0,8.24,3470.0,379.0,289.0,8.24,6940.0,577.0
HSS24_000X0_625,156.18,42.8,24.0,0.625,0.581,2930.0,319.0,244.0,8.28,2930.0,319.0,244.0,8.28,5870.0,488.0
HSS24_000X0_500,125.61,34.4,24.0,0.5,0.465,2380.0,258.0,198.0,8.32,2380.0,258.0,198.0,8.32,4760.0,397.0
HSS24_000X0_375,94.71,25.9,24.0,0.375,0.349,1810.0,195.0,151.0,8.36,1810.0,195.0,151.0,8.36,3620.0,302.0
