shape,weight,area,d,b,t,k,x,y,xp,yp,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,ro,H,tan_a,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,PA,PA2,PB
L12X12X1_3_8,105.0,31.1,12.0,12.0,1.38,2.09,3.5,3.5,1.3,1.3,413.0,88.1,48.6,3.64,413.0,88.1,48.6,3.64,165.0,2.3,33.3,19.9,211.0,6.51,0.627,1.0,661.0,8.0,0.0,8.0,4.02,4.95,4.02,82.6,–,82.6,41.0,33.3,41.0,36.0,36.0,48
L12X12X1_1_4,96.4,28.4,12.0,12.0,1.25,1.96,3.45,3.45,1.18,1.18,381.0,80.7,44.6,3.66,381.0,80.7,44.6,3.66,152.0,2.31,31.1,14.9,160.0,6.54,0.627,1.0,610.0,8.04,0.0,8.04,4.05,4.88,4.05,75.9,–,75.9,37.5,31.1,37.5,36.0,36.0,48
L12X12X1_1_8,87.2,25.8,12.0,12.0,1.13,1.84,3.41,3.41,1.08,1.08,350.0,73.7,40.7,3.68,350.0,73.7,40.7,3.68,140.0,2.33,29.0,11.1,120.0,6.58,0.626,1.0,560.0,8.09,0.0,8.09,4.06,4.82,4.06,69.2,–,69.2,34.5,29.0,34.5,36.0,36.0,48
L12X12X1,77.8,23.0,12.0,12.0,1.0,1.71,3.36,3.36,0.958,0.958,315.0,65.9,36.5,3.7,315.0,65.9,36.5,3.7,126.0,2.34,26.5,7.8,84.5,6.61,0.626,1.0,504.0,8.13,0.0,8.13,4.09,4.75,4.09,62.0,–,62.0,30.8,26.5,30.8,36.0,36.0,48
L10X10X1_3_8,87.1,25.6,10.0,10.0,1.38,2.18,3.0,3.0,1.28,1.28,231.0,59.9,33.0,3.0,231.0,59.8,33.0,3.0,93.3,1.91,22.0,16.4,118.0,5.36,0.629,1.0,369.0,6.58,0.0,6.58,3.32,4.24,3.32,56.1,–,56.1,28.1,22.0,28.1,30.0,30.0,40
L10X10X1_1_4,79.9,23.4,10.0,10.0,1.25,2.05,2.95,2.95,1.17,1.17,213.0,54.9,30.2,3.02,213.0,54.9,30.2,3.02,85.4,1.91,20.5,12.3,89.4,5.39,0.628,1.0,341.0,6.63,0.0,6.63,3.34,4.17,3.34,51.4,–,51.4,25.6,20.5,25.6,30.0,30.0,40
L10X10X1_1_8,72.3,21.3,10.0,10.0,1.13,1.93,2.9,2.9,1.07,1.07,196.0,50.2,27.6,3.03,196.0,50.2,27.6,3.03,78.2,1.92,19.1,9.21,67.3,5.41,0.627,1.0,314.0,6.67,0.0,6.67,3.37,4.1,3.37,47.1,–,47.1,23.2,19.1,23.2,30.0,30.0,40
L10X10X1,64.7,19.0,10.0,10.0,1.0,1.8,2.86,2.86,0.95,0.95,177.0,45.0,24.8,3.05,177.0,45.0,24.8,3.05,70.4,1.92,17.4,6.46,47.6,5.46,0.626,1.0,284.0,6.72,0.0,6.72,3.38,4.04,3.38,42.3,–,42.3,20.8,17.4,20.8,30.0,30.0,40
L10X10X7_8,56.9,16.8,10.0,10.0,0.875,1.68,2.8,2.8,0.84,0.84,158.0,39.9,21.9,3.07,158.0,39.9,21.9,3.07,62.8,1.93,15.9,4.39,32.5,5.47,0.627,1.0,253.0,6.76,0.0,6.76,3.42,3.96,3.42,37.4,–,37.4,18.4,15.9,18.4,30.0,30.0,40
L10X10X3_4,49.1,14.5,10.0,10.0,0.75,1.55,2.76,2.76,0.725,0.725,139.0,34.6,19.2,3.1,139.0,34.6,19.2,3.1,55.7,1.96,14.3,2.8,20.9,5.53,0.628,1.0,222.0,6.81,0.0,6.81,3.43,3.9,3.43,32.6,–,32.6,16.2,14.3,16.2,30.0,30.0,40
