shape,weight,area,d,bf,tw,tf,k,y,yp,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,ro,H,WGi
MT6_25X6_2,6.2,1.82,6.27,3.75,0.155,0.228,0.563,1.74,0.372,7.29,2.92,1.61,2.01,1.0,0.839,0.536,0.746,0.0246,0.0284,2.69,0.634,–
MT6_25X5_8,5.8,1.7,6.25,3.5,0.155,0.211,0.563,1.84,0.808,6.94,2.86,1.57,2.03,0.756,0.684,0.432,0.669,0.0206,0.0268,2.75,0.602,–
MT6X5_9,5.9,1.74,6.0,3.07,0.177,0.225,0.563,1.89,1.13,6.61,2.89,1.61,1.96,0.543,0.575,0.354,0.561,0.0249,0.0337,2.71,0.567,–
MT6X5_4,5.4,1.59,5.99,3.07,0.16,0.21,0.563,1.86,1.05,6.03,2.63,1.46,1.95,0.506,0.532,0.33,0.566,0.0196,0.025,2.69,0.574,–
MT6X5,5.0,1.48,5.99,3.25,0.149,0.18,0.5,1.86,1.08,5.62,2.45,1.36,1.96,0.517,0.509,0.318,0.594,0.0145,0.0202,2.71,0.572,–
MT5X4_5,4.5,1.33,5.0,2.69,0.157,0.206,0.563,1.54,0.808,3.47,1.81,1.0,1.62,0.336,0.403,0.25,0.505,0.0156,0.0138,2.22,0.585,–
MT5X4,4.0,1.19,4.98,2.69,0.141,0.182,0.563,1.52,0.809,3.08,1.61,0.894,1.62,0.296,0.354,0.22,0.502,0.0112,0.00989,2.22,0.583,–
MT5X3_75,3.75,1.11,5.0,2.69,0.13,0.173,0.438,1.51,0.759,2.91,1.51,0.836,1.63,0.281,0.334,0.209,0.505,0.00932,0.00792,2.22,0.588,–
MT4X3_25,3.25,0.959,4.0,2.28,0.135,0.189,0.563,1.18,0.472,1.57,1.01,0.558,1.29,0.188,0.264,0.165,0.444,0.00917,0.00463,1.74,0.612,–
MT4X3_1,3.1,0.911,4.0,2.28,0.129,0.177,0.438,1.18,0.497,1.5,0.967,0.533,1.29,0.176,0.247,0.154,0.441,0.00778,0.00403,1.75,0.608,–
MT3X2_2,2.2,0.647,3.0,1.84,0.114,0.171,0.375,0.841,0.19,0.579,0.483,0.268,0.949,0.0897,0.155,0.0973,0.374,0.00494,0.00124,1.27,0.646,–
MT3X1_85,1.85,0.545,2.96,2.0,0.098,0.129,0.313,0.827,0.174,0.483,0.409,0.226,0.945,0.0863,0.136,0.0863,0.4,0.00265,0.000754,1.28,0.644,–
MT2_5X9_45,9.45,2.78,2.5,5.0,0.316,0.416,0.813,0.512,0.276,1.05,1.03,0.528,0.617,4.35,2.66,1.74,1.26,0.156,0.0732,1.43,0.955,2.75
MT2X3,3.0,0.875,1.9,3.8,0.13,0.16,0.5,0.341,0.112,0.208,0.241,0.133,0.493,0.732,0.588,0.385,0.926,0.00919,0.00193,1.08,0.942,–
