shape,weight,area,d,bf,tw,tf,k,y,yp,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,ro,H,WGi
ST12X60_5,60.5,17.8,12.3,8.05,0.8,1.09,2.0,3.63,1.26,259.0,54.5,30.1,3.82,41.5,18.1,10.3,1.53,6.38,27.5,5.14,0.64,4
ST12X53,53.0,15.6,12.3,7.87,0.62,1.09,2.0,3.28,1.02,216.0,43.3,24.1,3.72,38.4,16.7,9.76,1.57,5.05,15.0,4.88,0.686,4
ST12X50,50.0,14.7,12.0,7.25,0.745,0.87,1.75,3.84,2.16,215.0,47.5,26.3,3.83,23.7,12.0,6.55,1.27,3.76,19.5,5.28,0.584,4
ST12X45,45.0,13.2,12.0,7.13,0.625,0.87,1.75,3.6,1.42,190.0,41.1,22.6,3.79,22.3,11.2,6.27,1.3,3.01,12.1,5.11,0.615,4
ST12X40,40.0,11.7,12.0,7.0,0.5,0.87,1.75,3.3,0.909,162.0,33.6,18.6,3.72,21.0,10.4,6.0,1.34,2.44,6.94,4.88,0.656,4
ST10X48,48.0,14.1,10.2,7.2,0.8,0.92,1.75,3.13,1.35,143.0,36.9,20.3,3.18,25.0,12.5,6.93,1.33,4.16,15.0,4.36,0.625,4
ST10X43,43.0,12.7,10.2,7.06,0.66,0.92,1.75,2.91,0.972,124.0,31.1,17.2,3.13,23.3,11.6,6.59,1.36,3.3,9.17,4.21,0.659,4
ST10X37_5,37.5,11.0,10.0,6.39,0.635,0.795,1.63,3.07,1.34,109.0,28.6,15.8,3.15,14.8,8.36,4.62,1.16,2.28,7.21,4.29,0.613,3.5
ST10X33,33.0,9.7,10.0,6.26,0.505,0.795,1.63,2.81,0.841,92.9,23.4,12.9,3.1,13.7,7.7,4.39,1.19,1.78,4.02,4.1,0.654,3.5
ST9X35,35.0,10.3,9.0,6.25,0.711,0.691,1.5,2.94,1.78,84.5,25.1,14.0,2.87,12.0,7.17,3.84,1.08,2.02,7.03,4.02,0.582,3.5
ST9X27_35,27.35,8.02,9.0,6.0,0.461,0.691,1.5,2.51,0.737,62.3,17.3,9.6,2.79,10.4,6.06,3.45,1.14,1.16,2.26,3.71,0.66,3.5
ST7_5X25,25.0,7.34,7.5,5.64,0.55,0.622,1.38,2.25,0.826,40.5,14.0,7.72,2.35,7.79,4.99,2.76,1.03,1.05,2.02,3.22,0.635,3.5
ST7_5X21_45,21.45,6.3,7.5,5.5,0.411,0.622,1.38,2.01,0.605,32.9,10.8,5.99,2.29,7.13,4.54,2.59,1.06,0.765,0.995,3.04,0.689,3.5
ST6X25,25.0,7.33,6.0,5.48,0.687,0.659,1.44,1.84,0.758,25.1,11.0,6.04,1.85,7.79,5.16,2.84,1.03,1.36,1.97,2.6,0.662,3
ST6X20_4,20.4,5.96,6.0,5.25,0.462,0.659,1.44,1.58,0.577,18.9,7.71,4.27,1.78,6.74,4.43,2.57,1.06,0.842,0.787,2.42,0.732,3
ST6X17_5,17.5,5.12,6.0,5.08,0.428,0.544,1.19,1.65,0.543,17.2,7.12,3.95,1.83,4.92,3.4,1.94,0.98,0.524,0.556,2.49,0.695,3
ST6X15_9,15.9,4.65,6.0,5.0,0.35,0.544,1.19,1.51,0.48,14.8,5.94,3.3,1.78,4.66,3.22,1.87,1.0,0.438,0.364,2.39,0.731,3
ST5X17_5,17.5,5.14,5.0,4.94,0.594,0.491,1.13,1.56,0.673,12.5,6.58,3.62,1.56,4.15,3.1,1.68,0.899,0.633,0.725,2.23,0.653,2.75
ST5X12_7,12.7,3.72,5.0,4.66,0.311,0.491,1.13,1.2,0.403,7.79,3.7,2.05,1.45,3.36,2.49,1.44,0.95,0.3,0.173,1.98,0.767,2.75
ST4X11_5,11.5,3.38,4.0,4.17,0.441,0.425,1.0,1.15,0.439,5.0,3.19,1.76,1.22,2.13,1.84,1.02,0.795,0.271,0.168,1.73,0.704,2.25
ST4X9_2,9.2,2.7,4.0,4.0,0.271,0.425,1.0,0.942,0.336,3.49,2.07,1.14,1.14,1.84,1.59,0.922,0.827,0.167,0.0642,1.58,0.788,2.25
ST3X8_6,8.6,2.53,3.0,3.57,0.465,0.359,0.813,0.915,0.394,2.12,1.85,1.02,0.915,1.14,1.17,0.642,0.673,0.181,0.0772,1.35,0.705,–
ST3X6_25,6.25,1.83,3.0,3.33,0.232,0.359,0.813,0.692,0.271,1.26,1.01,0.547,0.831,0.901,0.93,0.541,0.702,0.083,0.0197,1.2,0.819,–
ST2_5X5,5.0,1.46,2.5,3.0,0.214,0.326,0.75,0.57,0.239,0.671,0.65,0.348,0.677,0.597,0.686,0.398,0.638,0.0568,0.01,1.02,0.839,–
ST2X4_75,4.75,1.4,2.0,2.8,0.326,0.293,0.75,0.553,0.25,0.462,0.592,0.319,0.575,0.444,0.565,0.317,0.564,0.059,0.00995,0.903,0.797,–
ST2X3_85,3.85,1.13,2.0,2.66,0.193,0.293,0.75,0.448,0.204,0.307,0.381,0.198,0.522,0.374,0.485,0.281,0.576,0.0364,0.00457,0.834,0.869,–
ST1_5X3_75,3.75,1.1,1.5,2.51,0.349,0.26,0.625,0.432,0.219,0.2,0.351,0.187,0.426,0.289,0.411,0.23,0.513,0.0432,0.00496,0.732,0.83,–
ST1_5X2_85,2.85,0.83,1.5,2.33,0.17,0.26,0.625,0.329,0.171,0.114,0.196,0.097,0.37,0.223,0.328,0.192,0.518,0.0216,0.00189,0.667,0.911,–
