shape,weight,area,d,bf,tw,tf,k,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD,T,WGi
S24X121,121.0,35.5,24.5,8.05,0.8,1.09,2.0,3160.0,306.0,258.0,9.43,83.0,36.3,20.6,1.53,12.8,11400.0,47.1,103.0,46.2,153.0,1.94,23.4,68.6,76.6,57.1,65.1,20.5,4
S24X106,106.0,31.1,24.5,7.87,0.62,1.09,2.0,2940.0,279.0,240.0,9.71,76.8,33.4,19.5,1.57,10.1,10500.0,46.1,98.8,46.2,139.0,1.93,23.4,68.4,76.3,56.9,64.7,20.5,4
S24X100,100.0,29.3,24.0,7.25,0.745,0.87,1.75,2380.0,239.0,199.0,9.01,47.4,24.0,13.1,1.27,7.59,6350.0,41.9,66.0,32.7,119.0,1.66,23.1,65.5,72.8,55.3,62.5,20.5,4
S24X90,90.0,26.5,24.0,7.13,0.625,0.87,1.75,2250.0,222.0,187.0,9.21,44.7,22.4,12.5,1.3,6.05,5980.0,41.2,63.8,32.7,110.0,1.66,23.1,65.4,72.5,55.1,62.3,20.5,4
S24X80,80.0,23.5,24.0,7.0,0.5,0.87,1.75,2100.0,204.0,175.0,9.47,42.0,20.8,12.0,1.34,4.89,5620.0,40.5,61.6,32.7,101.0,1.67,23.1,65.2,72.2,55.0,62.0,20.5,4
S20X96,96.0,28.2,20.3,7.2,0.8,0.92,1.75,1670.0,198.0,165.0,7.71,49.9,24.9,13.9,1.33,8.4,4690.0,34.9,57.8,28.5,98.3,1.71,19.4,57.9,65.1,47.8,55.0,16.75,4
S20X86,86.0,25.3,20.3,7.06,0.66,0.92,1.75,1570.0,183.0,155.0,7.89,46.6,23.1,13.2,1.36,6.65,4370.0,34.2,55.5,28.5,91.1,1.71,19.4,57.8,64.9,47.7,54.7,16.75,4
S20X75,75.0,22.0,20.0,6.39,0.635,0.795,1.63,1280.0,152.0,128.0,7.62,29.5,16.7,9.25,1.16,4.59,2720.0,30.7,38.9,21.9,75.6,1.49,19.2,55.4,61.8,46.4,52.8,16.75,3.5
S20X66,66.0,19.4,20.0,6.26,0.505,0.795,1.63,1190.0,139.0,119.0,7.83,27.5,15.4,8.78,1.19,3.58,2530.0,30.0,37.3,21.9,69.1,1.49,19.2,55.3,61.5,46.3,52.5,16.75,3.5
S18X70,70.0,20.5,18.0,6.25,0.711,0.691,1.5,923.0,124.0,103.0,6.7,24.0,14.3,7.69,1.08,4.1,1800.0,27.0,29.2,16.6,61.9,1.42,17.3,50.9,57.2,42.3,48.5,15.0,3.5
S18X54_7,54.7,16.0,18.0,6.0,0.461,0.691,1.5,801.0,104.0,89.0,7.07,20.7,12.1,6.91,1.14,2.33,1550.0,26.0,26.9,16.6,51.8,1.42,17.3,50.7,56.7,42.0,48.0,15.0,3.5
S15X50,50.0,14.7,15.0,5.64,0.55,0.622,1.38,485.0,77.0,64.7,5.75,15.6,10.0,5.53,1.03,2.12,805.0,20.3,17.8,11.4,38.2,1.32,14.4,43.6,49.2,35.6,41.3,12.25,3.5
S15X42_9,42.9,12.6,15.0,5.5,0.411,0.622,1.38,446.0,69.2,59.4,5.95,14.3,9.08,5.19,1.06,1.54,737.0,19.8,16.9,11.4,34.3,1.31,14.4,43.4,48.9,35.5,41.0,12.25,3.5
S12X50,50.0,14.7,12.0,5.48,0.687,0.659,1.44,303.0,60.9,50.6,4.55,15.6,10.3,5.69,1.03,2.77,501.0,15.5,14.0,8.95,30.3,1.32,11.3,36.9,42.4,29.5,35.0,9.125,3
S12X40_8,40.8,11.9,12.0,5.25,0.462,0.659,1.44,270.0,52.7,45.1,4.76,13.5,8.86,5.13,1.06,1.69,433.0,14.9,12.9,8.95,26.2,1.3,11.3,36.6,41.9,29.3,34.5,9.125,3
S12X35,35.0,10.2,12.0,5.08,0.428,0.544,1.19,228.0,44.6,38.1,4.72,9.84,6.8,3.88,0.98,1.05,323.0,14.5,10.0,7.24,22.2,1.22,11.5,36.4,41.5,29.1,34.2,9.625,3
S12X31_8,31.8,9.31,12.0,5.0,0.35,0.544,1.19,217.0,41.8,36.2,4.83,9.33,6.44,3.73,1.0,0.878,306.0,14.3,9.74,7.24,20.8,1.21,11.5,36.3,41.3,29.0,34.0,9.625,3
S10X35,35.0,10.3,10.0,4.94,0.594,0.491,1.13,147.0,35.4,29.4,3.78,8.3,6.19,3.36,0.899,1.29,188.0,11.8,7.13,5.08,17.6,1.16,9.51,31.7,36.7,24.9,29.9,7.75,2.75
S10X25_4,25.4,7.45,10.0,4.66,0.311,0.491,1.13,123.0,28.3,24.6,4.07,6.73,4.99,2.89,0.95,0.603,152.0,11.1,6.34,5.08,14.0,1.14,9.51,31.5,36.1,24.7,29.3,7.75,2.75
S8X23,23.0,6.76,8.0,4.17,0.441,0.425,1.0,64.7,19.2,16.2,3.09,4.27,3.67,2.05,0.795,0.55,61.2,7.9,3.5,3.0,9.53,0.999,7.58,26.0,30.1,20.2,24.3,6.0,2.25
S8X18_4,18.4,5.4,8.0,4.0,0.271,0.425,1.0,57.5,16.5,14.4,3.26,3.69,3.18,1.84,0.827,0.335,52.9,7.58,3.22,3.0,8.17,0.985,7.58,25.8,29.8,20.0,24.0,6.0,2.25
