shape,weight,area,d,bf,tw,tf,k,y,yp,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,ro,H,PA,PB,PC,PD,WGi,WGo
WT22X204,204.0,59.9,22.4,16.1,1.22,2.17,2.96,5.71,1.86,2670.0,286.0,160.0,6.68,758.0,148.0,94.2,3.56,66.9,785.0,8.87,0.728,60.2,76.3,60.9,77.0,5.5,3
WT22X184,184.0,54.0,22.2,16.0,1.1,1.97,2.76,5.57,1.69,2380.0,255.0,143.0,6.64,675.0,132.0,84.4,3.54,49.9,570.0,8.81,0.729,59.7,75.7,60.4,76.4,5.5,3
WT22X167_5,167.5,49.2,22.0,15.9,1.03,1.77,2.56,5.53,1.54,2170.0,234.0,131.0,6.63,600.0,118.0,75.2,3.49,37.2,438.0,8.82,0.723,58.9,74.8,59.9,75.8,5.5,3
WT22X145,145.0,42.6,21.8,15.8,0.865,1.58,2.36,5.26,1.35,1830.0,196.0,111.0,6.54,521.0,102.0,65.9,3.49,25.4,275.0,8.66,0.733,58.4,74.2,59.4,75.2,5.5,3
WT22X131,131.0,38.5,21.7,15.8,0.785,1.42,2.2,5.19,1.22,1640.0,176.0,99.4,6.53,462.0,90.9,58.6,3.47,18.6,200.0,8.64,0.731,58.2,74.0,59.2,75.0,5.5,3
WT22X115,115.0,33.9,21.5,15.8,0.71,1.22,2.01,5.17,1.07,1440.0,157.0,88.6,6.53,398.0,78.3,50.5,3.43,12.4,139.0,8.67,0.723,57.8,73.6,58.8,74.6,5.5,3
WT20X327_5,327.5,96.4,21.8,16.9,1.97,3.54,4.72,5.85,2.85,3730.0,426.0,234.0,6.22,1440.0,271.0,170.0,3.86,293.0,3190.0,8.38,0.763,59.5,76.4,60.5,77.4,7.5,3
WT20X296_5,296.5,87.2,21.5,16.7,1.79,3.23,4.41,5.66,2.61,3310.0,379.0,209.0,6.16,1260.0,240.0,151.0,3.8,221.0,2340.0,8.29,0.762,58.7,75.4,59.7,76.4,7.5,3
WT20X251_5,251.5,74.0,21.0,16.4,1.54,2.76,3.94,5.38,2.25,2730.0,314.0,174.0,6.07,1020.0,197.0,124.0,3.72,138.0,1400.0,8.17,0.76,57.4,73.8,58.4,74.8,7.5,3
WT20X215_5,215.5,63.3,20.6,16.2,1.34,2.36,3.54,5.18,1.95,2290.0,266.0,148.0,6.01,843.0,164.0,104.0,3.65,88.2,881.0,8.09,0.756,56.4,72.6,57.4,73.6,7.5,3
WT20X198_5,198.5,58.3,20.5,16.1,1.22,2.2,3.38,5.03,1.81,2070.0,240.0,134.0,5.96,771.0,150.0,95.7,3.63,70.6,677.0,8.01,0.76,56.1,72.2,57.1,73.2,7.5,3
WT20X186,186.0,54.7,20.3,16.1,1.16,2.05,3.23,4.98,1.7,1930.0,225.0,126.0,5.95,709.0,138.0,88.3,3.6,57.7,558.0,8.0,0.756,55.7,71.8,56.7,72.8,7.5,3
WT20X181,181.0,53.2,20.3,16.0,1.12,2.01,3.19,4.91,1.66,1870.0,217.0,122.0,5.92,691.0,135.0,86.3,3.6,54.2,511.0,7.96,0.759,55.6,71.6,56.6,72.6,7.5,3
WT20X162,162.0,47.7,20.1,15.9,1.0,1.81,2.99,4.77,1.5,1650.0,192.0,108.0,5.88,609.0,119.0,76.6,3.57,39.6,362.0,7.89,0.76,55.1,71.0,56.1,72.0,7.5,3
WT20X148_5,148.5,43.6,19.9,15.8,0.93,1.65,2.83,4.71,1.38,1500.0,176.0,98.9,5.87,546.0,107.0,69.0,3.54,30.5,279.0,7.88,0.756,54.6,70.4,55.6,71.4,7.5,3
WT20X138_5,138.5,40.7,19.8,15.8,0.83,1.58,2.76,4.5,1.29,1360.0,157.0,88.6,5.78,522.0,102.0,65.9,3.58,25.7,218.0,7.75,0.77,54.4,70.2,55.4,71.2,7.5,3
WT20X124_5,124.5,36.7,19.7,15.8,0.75,1.42,2.6,4.41,1.16,1210.0,140.0,79.4,5.75,463.0,90.8,58.8,3.55,19.0,158.0,7.7,0.77,54.2,70.0,55.2,71.0,7.5,3
WT20X107_5,107.5,31.8,19.5,15.8,0.65,1.22,2.4,4.28,1.01,1030.0,120.0,68.0,5.71,398.0,77.8,50.5,3.54,12.4,101.0,7.66,0.771,53.8,69.6,54.8,70.6,7.5,3
WT20X99_5,99.5,29.2,19.3,15.8,0.65,1.07,2.25,4.47,0.929,988.0,117.0,66.5,5.81,347.0,68.2,44.1,3.45,9.12,83.5,7.82,0.746,53.4,69.2,54.4,70.2,7.5,3
WT20X196,196.0,57.8,20.8,12.4,1.42,2.52,3.7,5.94,2.33,2270.0,275.0,153.0,6.27,401.0,106.0,64.9,2.64,85.4,796.0,8.26,0.679,53.0,65.4,54.0,66.4,7.5,–
WT20X165_5,165.5,48.8,20.4,12.2,1.22,2.13,3.31,5.74,2.0,1880.0,231.0,128.0,6.21,322.0,85.7,52.9,2.57,52.5,484.0,8.19,0.674,52.0,64.2,53.0,65.2,7.5,–
WT20X163_5,163.5,47.9,20.4,12.1,1.18,2.13,3.31,5.66,1.98,1840.0,224.0,125.0,6.19,320.0,85.0,52.7,2.58,51.4,449.0,8.13,0.68,51.9,64.0,52.9,65.0,7.5,–
WT20X147,147.0,43.1,20.2,12.0,1.06,1.93,3.11,5.51,1.8,1630.0,199.0,111.0,6.14,281.0,75.0,46.7,2.55,38.2,322.0,8.06,0.681,51.4,63.4,52.4,64.4,7.5,–
WT20X139,139.0,41.0,20.1,12.0,1.03,1.81,2.99,5.51,1.71,1550.0,191.0,106.0,6.14,261.0,69.9,43.5,2.52,32.4,282.0,8.08,0.675,51.2,63.2,52.2,64.2,7.5,–
WT20X132,132.0,38.7,20.0,11.9,0.96,1.73,2.91,5.41,1.63,1450.0,178.0,99.2,6.11,246.0,66.0,41.3,2.52,27.9,233.0,8.02,0.679,50.9,62.8,51.9,63.8,7.5,–
WT20X117_5,117.5,34.6,19.8,11.9,0.83,1.58,2.76,5.17,1.45,1260.0,153.0,85.7,6.04,222.0,59.0,37.3,2.54,20.6,156.0,7.88,0.691,50.5,62.4,51.5,63.4,7.5,–
WT20X105_5,105.5,31.1,19.7,11.8,0.75,1.42,2.6,5.08,1.31,1120.0,137.0,76.7,6.01,195.0,52.1,33.0,2.51,15.2,113.0,7.84,0.69,50.2,62.0,51.2,63.0,7.5,–
WT20X91_5,91.5,26.7,19.5,11.8,0.65,1.2,2.38,4.97,1.13,955.0,117.0,65.7,5.98,165.0,44.0,28.0,2.49,9.65,71.2,7.81,0.688,49.8,61.6,50.8,62.6,7.5,–
WT20X83_5,83.5,24.5,19.3,11.8,0.65,1.03,2.21,5.19,1.1,899.0,115.0,63.7,6.05,141.0,37.8,23.9,2.4,6.99,62.9,8.01,0.659,49.4,61.2,50.4,62.2,7.5,–
WT20X74_5,74.5,21.9,19.1,11.8,0.63,0.83,2.01,5.45,1.72,815.0,108.0,59.7,6.1,114.0,30.9,19.4,2.29,4.66,51.9,8.23,0.626,49.0,60.8,50.0,61.8,7.5,–
WT18X462_5,462.5,136.0,21.6,18.6,3.02,4.53,5.28,6.36,3.66,5130.0,617.0,337.0,6.14,2470.0,431.0,266.0,4.26,707.0,9680.0,8.52,0.769,61.2,79.8,61.8,80.4,7.5,3
WT18X426_5,426.5,126.0,21.6,18.2,2.52,4.53,5.28,5.95,3.46,4480.0,533.0,286.0,5.96,2300.0,403.0,253.0,4.27,615.0,7100.0,8.21,0.799,60.8,79.0,61.4,79.6,7.5,3
WT18X401,401.0,118.0,21.3,18.0,2.38,4.29,5.04,5.8,3.28,4110.0,491.0,265.0,5.9,2100.0,372.0,233.0,4.22,519.0,5830.0,8.12,0.797,60.0,78.0,60.6,78.6,7.5,3
WT18X361_5,361.5,107.0,20.9,17.8,2.17,3.9,4.65,5.55,3.01,3610.0,434.0,235.0,5.81,1850.0,329.0,208.0,4.16,390.0,4250.0,8.0,0.798,59.0,76.8,59.6,77.4,7.5,3
WT18X326,326.0,96.2,20.5,17.6,1.97,3.54,4.49,5.35,2.73,3160.0,383.0,208.0,5.74,1610.0,290.0,184.0,4.1,295.0,3070.0,7.91,0.795,57.6,75.2,58.6,76.2,7.5,3
WT18X264_5,264.5,77.8,19.9,17.2,1.61,2.91,3.86,4.96,2.26,2440.0,298.0,164.0,5.6,1240.0,227.0,145.0,4.0,163.0,1600.0,7.72,0.794,56.0,73.2,57.0,74.2,7.5,3
WT18X243_5,243.5,71.7,19.7,17.1,1.5,2.68,3.63,4.84,2.1,2220.0,272.0,150.0,5.57,1120.0,206.0,131.0,3.96,128.0,1250.0,7.68,0.792,55.5,72.6,56.5,73.6,7.5,3
