shape,weight,area,d,bf,tw,tf,k,k1,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD,T,WGi,WGo
W44X408,408.0,120.0,44.8,16.1,1.22,2.17,2.96,1.8125,38700.0,2000.0,1730.0,18.0,1520.0,297.0,189.0,3.56,134.0,691000.0,172.0,1500.0,344.0,994.0,4.33,42.6,134.0,150.0,106.0,122.0,38.0,5.5,3
W44X368,368.0,108.0,44.4,16.0,1.1,1.97,2.76,1.75,34700.0,1800.0,1560.0,17.9,1350.0,265.0,169.0,3.54,100.0,608000.0,170.0,1340.0,311.0,894.0,4.28,42.4,133.0,149.0,105.0,121.0,38.0,5.5,3
W44X335,335.0,98.5,44.0,15.9,1.03,1.77,2.56,1.75,31100.0,1620.0,1410.0,17.8,1200.0,236.0,150.0,3.49,74.7,535000.0,168.0,1180.0,278.0,805.0,4.24,42.2,132.0,148.0,104.0,120.0,38.0,5.5,3
W44X290,290.0,85.4,43.6,15.8,0.865,1.58,2.36,1.625,27000.0,1410.0,1240.0,17.8,1040.0,205.0,132.0,3.49,50.9,461000.0,166.0,1040.0,248.0,701.0,4.2,42.0,131.0,147.0,103.0,119.0,38.0,5.5,3
W44X262,262.0,77.2,43.3,15.8,0.785,1.42,2.2,1.625,24100.0,1270.0,1110.0,17.7,923.0,182.0,117.0,3.47,37.3,405000.0,165.0,928.0,223.0,630.0,4.17,41.9,131.0,147.0,102.0,118.0,38.0,5.5,3
W44X230,230.0,67.8,42.9,15.8,0.71,1.22,2.01,1.5625,20800.0,1100.0,971.0,17.5,796.0,157.0,101.0,3.43,24.9,346000.0,165.0,793.0,192.0,547.0,4.13,41.7,130.0,146.0,102.0,118.0,38.0,5.5,3
W40X655,655.0,193.0,43.6,16.9,1.97,3.54,4.72,2.1875,56500.0,3080.0,2590.0,17.1,2870.0,542.0,340.0,3.86,589.0,1150000.0,169.0,2530.0,529.0,1530.0,4.71,40.1,132.0,149.0,104.0,121.0,34.0,7.5,3
W40X593,593.0,174.0,43.0,16.7,1.79,3.23,4.41,2.125,50400.0,2760.0,2340.0,17.0,2520.0,481.0,302.0,3.8,445.0,997000.0,166.0,2240.0,479.0,1370.0,4.63,39.8,130.0,147.0,103.0,120.0,34.0,7.5,3
W40X503,503.0,148.0,42.1,16.4,1.54,2.76,3.94,2.0,41600.0,2320.0,1980.0,16.8,2040.0,394.0,249.0,3.72,277.0,789000.0,161.0,1830.0,403.0,1150.0,4.5,39.3,129.0,145.0,101.0,117.0,34.0,7.5,3
W40X431,431.0,127.0,41.3,16.2,1.34,2.36,3.54,1.875,34800.0,1960.0,1690.0,16.6,1690.0,328.0,208.0,3.65,177.0,638000.0,158.0,1510.0,341.0,969.0,4.41,38.9,127.0,143.0,98.8,115.0,34.0,7.5,3
W40X397,397.0,117.0,41.0,16.1,1.22,2.2,3.38,1.8125,32000.0,1800.0,1560.0,16.6,1540.0,300.0,191.0,3.64,142.0,579000.0,156.0,1380.0,318.0,891.0,4.38,38.8,126.0,142.0,98.1,114.0,34.0,7.5,3
W40X372,372.0,110.0,40.6,16.1,1.16,2.05,3.23,1.8125,29600.0,1680.0,1460.0,16.5,1420.0,277.0,177.0,3.6,116.0,528000.0,155.0,1280.0,295.0,829.0,4.33,38.6,125.0,141.0,97.3,113.0,34.0,7.5,3
W40X362,362.0,106.0,40.6,16.0,1.12,2.01,3.19,1.75,28900.0,1640.0,1420.0,16.5,1380.0,270.0,173.0,3.6,109.0,513000.0,154.0,1240.0,289.0,808.0,4.33,38.6,125.0,141.0,97.2,113.0,34.0,7.5,3
W40X324,324.0,95.3,40.2,15.9,1.0,1.81,2.99,1.6875,25600.0,1460.0,1280.0,16.4,1220.0,239.0,153.0,3.58,79.4,448000.0,153.0,1100.0,259.0,720.0,4.27,38.4,124.0,140.0,96.3,112.0,34.0,7.5,3
W40X297,297.0,87.3,39.8,15.8,0.93,1.65,2.83,1.6875,23200.0,1330.0,1170.0,16.3,1090.0,215.0,138.0,3.54,61.2,399000.0,151.0,982.0,234.0,652.0,4.22,38.2,123.0,139.0,95.4,111.0,34.0,7.5,3
W40X277,277.0,81.5,39.7,15.8,0.83,1.58,2.76,1.625,21900.0,1250.0,1100.0,16.4,1040.0,204.0,132.0,3.58,51.5,379000.0,151.0,940.0,225.0,614.0,4.25,38.1,123.0,139.0,95.2,111.0,34.0,7.5,3
W40X249,249.0,73.5,39.4,15.8,0.75,1.42,2.6,1.5625,19600.0,1120.0,993.0,16.3,926.0,182.0,118.0,3.55,38.1,334000.0,150.0,841.0,203.0,551.0,4.21,38.0,122.0,138.0,94.6,110.0,34.0,7.5,3
W40X215,215.0,63.5,39.0,15.8,0.65,1.22,2.4,1.5625,16700.0,964.0,859.0,16.2,803.0,156.0,101.0,3.54,24.8,284000.0,149.0,719.0,175.0,473.0,4.19,37.8,122.0,138.0,93.8,110.0,34.0,7.5,3
W40X199,199.0,58.8,38.7,15.8,0.65,1.07,2.25,1.5625,14900.0,869.0,770.0,16.0,695.0,137.0,88.2,3.45,18.3,246000.0,149.0,628.0,153.0,427.0,4.12,37.6,121.0,137.0,93.2,109.0,34.0,7.5,3
W40X392,392.0,116.0,41.6,12.4,1.42,2.52,3.7,1.9375,29900.0,1710.0,1440.0,16.1,803.0,212.0,130.0,2.64,172.0,306000.0,121.0,946.0,270.0,848.0,3.3,39.1,116.0,128.0,95.6,108.0,34.0,7.5,–
W40X331,331.0,97.7,40.8,12.2,1.22,2.13,3.31,1.8125,24700.0,1430.0,1210.0,15.9,644.0,172.0,106.0,2.57,105.0,241000.0,118.0,766.0,226.0,706.0,3.21,38.7,114.0,126.0,93.8,106.0,34.0,7.5,–
W40X327,327.0,95.9,40.8,12.1,1.18,2.13,3.31,1.8125,24500.0,1410.0,1200.0,16.0,640.0,170.0,105.0,2.58,103.0,239000.0,117.0,754.0,225.0,695.0,3.21,38.7,114.0,126.0,93.7,106.0,34.0,7.5,–
W40X294,294.0,86.2,40.4,12.0,1.06,1.93,3.11,1.75,21900.0,1270.0,1080.0,15.9,562.0,150.0,93.5,2.55,76.6,208000.0,115.0,668.0,203.0,622.0,3.16,38.5,113.0,125.0,92.8,105.0,34.0,7.5,–
W40X278,278.0,82.3,40.2,12.0,1.03,1.81,2.99,1.75,20500.0,1190.0,1020.0,15.8,521.0,140.0,87.1,2.52,65.0,192000.0,115.0,622.0,190.0,587.0,3.13,38.4,112.0,124.0,92.4,104.0,34.0,7.5,–
W40X264,264.0,77.4,40.0,11.9,0.96,1.73,2.91,1.6875,19400.0,1130.0,971.0,15.8,493.0,132.0,82.6,2.52,56.1,181000.0,114.0,589.0,182.0,555.0,3.12,38.3,112.0,124.0,91.9,104.0,34.0,7.5,–
W40X235,235.0,69.1,39.7,11.9,0.83,1.58,2.76,1.625,17400.0,1010.0,875.0,15.9,444.0,118.0,74.6,2.54,41.3,161000.0,113.0,530.0,166.0,495.0,3.11,38.1,111.0,123.0,91.3,103.0,34.0,7.5,–
W40X211,211.0,62.1,39.4,11.8,0.75,1.42,2.6,1.5625,15500.0,906.0,786.0,15.8,390.0,105.0,66.1,2.51,30.4,141000.0,112.0,468.0,148.0,442.0,3.07,38.0,110.0,122.0,90.6,102.0,34.0,7.5,–
W40X183,183.0,53.3,39.0,11.8,0.65,1.2,2.38,1.5625,13200.0,774.0,675.0,15.7,331.0,88.3,56.0,2.49,19.3,118000.0,112.0,395.0,126.0,376.0,3.04,37.8,110.0,122.0,89.8,102.0,34.0,7.5,–
W40X167,167.0,49.3,38.6,11.8,0.65,1.03,2.21,1.5625,11600.0,693.0,600.0,15.3,283.0,76.0,47.9,2.4,14.0,99700.0,111.0,336.0,107.0,336.0,2.98,37.6,109.0,121.0,89.0,101.0,34.0,7.5,–
W40X149,149.0,43.8,38.2,11.8,0.63,0.83,2.01,1.5,9800.0,598.0,513.0,15.0,229.0,62.2,38.8,2.29,9.36,80000.0,110.0,270.0,86.7,288.0,2.89,37.4,108.0,120.0,88.2,100.0,34.0,7.5,–
W36X925,925.0,272.0,43.1,18.6,3.02,4.53,5.28,2.3125,73000.0,4130.0,3390.0,16.4,4940.0,862.0,531.0,4.26,1430.0,1840000.0,179.0,3780.0,681.0,2060.0,5.3,38.6,134.0,153.0,105.0,124.0,32.375,7.5,3
W36X853,853.0,251.0,43.1,18.2,2.52,4.53,5.28,2.0625,70000.0,3920.0,3250.0,16.7,4600.0,805.0,505.0,4.28,1240.0,1710000.0,175.0,3620.0,685.0,1950.0,5.22,38.6,135.0,153.0,104.0,122.0,32.375,7.5,3
W36X802,802.0,236.0,42.6,18.0,2.38,4.29,5.04,2.0,64800.0,3660.0,3040.0,16.6,4210.0,744.0,468.0,4.22,1050.0,1540000.0,172.0,3330.0,642.0,1820.0,5.15,38.3,133.0,151.0,103.0,121.0,32.375,7.5,3
W36X723,723.0,213.0,41.8,17.8,2.17,3.9,4.65,1.875,57300.0,3270.0,2740.0,16.4,3700.0,658.0,416.0,4.17,785.0,1330000.0,169.0,2930.0,578.0,1630.0,5.06,37.9,131.0,149.0,101.0,119.0,32.375,7.5,3
W36X652,652.0,192.0,41.1,17.6,1.97,3.54,4.49,2.1875,50600.0,2910.0,2460.0,16.2,3230.0,581.0,367.0,4.1,593.0,1130000.0,165.0,2560.0,518.0,1450.0,4.96,37.6,129.0,147.0,99.8,117.0,31.375,7.5,3
W36X529,529.0,156.0,39.8,17.2,1.61,2.91,3.86,2.0,39600.0,2330.0,1990.0,16.0,2490.0,454.0,289.0,4.0,327.0,846000.0,159.0,1990.0,419.0,1160.0,4.8,36.9,127.0,144.0,96.8,114.0,31.375,7.5,3
